GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.spiceflow.backend.receiving.workflow.command,PostReceiptCommand,4,31,0,2,2,8,1,6,1,5
,com.spiceflow.backend.receiving.workflow.command,SubmitInspectionCommand,0,35,0,2,0,10,0,7,0,6
,com.spiceflow.backend.receiving.workflow.command,VerifyReceiptCommand,11,61,1,5,2,15,1,8,0,6
,com.spiceflow.backend.receiving.workflow.command,CancelReceiptCommand,11,24,1,1,2,8,1,6,0,6
,com.spiceflow.backend.dashboard.logistics.service,LogisticsDashboardService,37,4,0,0,9,1,1,1,1,1
,com.spiceflow.backend.sales.loading.entity,LoadingSheetItemWorkflowEntity,6,51,0,0,2,15,2,11,2,11
,com.spiceflow.backend.sales.loading.entity,LoadingSheetWorkflowEntity,0,157,0,0,0,45,0,35,0,35
,com.spiceflow.backend.sales.loading.entity,LoadingSheetReturnWorkflowEntity,6,61,0,0,2,18,2,13,2,13
,com.spiceflow.backend.sales.delivery.workflow.command,CancelDeliveryCommand,0,32,0,2,0,10,0,7,0,6
,com.spiceflow.backend.sales.delivery.workflow.command,DispatchDeliveryCommand,8,24,1,1,2,8,1,6,0,6
,com.spiceflow.backend.sales.delivery.workflow.command,CompleteDeliveryCommand,8,33,1,3,2,10,1,7,0,6
,com.spiceflow.backend.auth.service,TenantUserService,64,0,6,0,15,0,6,0,3,0
,com.spiceflow.backend.auth.service,CaffeineTokenBlacklistService.new Expiry() {...},2,10,0,0,1,3,1,3,1,3
,com.spiceflow.backend.auth.service,AuthService,104,469,10,20,13,117,15,18,5,13
,com.spiceflow.backend.auth.service,CaffeineTokenBlacklistService,0,32,0,4,0,9,0,5,0,3
,com.spiceflow.backend.auth.service,RoleService,16,306,2,12,2,63,4,14,2,9
,com.spiceflow.backend.sales.delivery.workflow,DeliveryStateMachine,6,42,0,0,1,8,1,2,1,2
,com.spiceflow.backend.sales.loading.workflow.command,CancelLoadingSheetCommand,0,35,0,2,0,10,0,7,0,6
,com.spiceflow.backend.sales.loading.workflow.command,ConfirmLoadingSheetCommand,11,33,1,3,2,10,1,7,0,6
,com.spiceflow.backend.events,SpringDomainEventPublisher,5,6,0,0,2,3,1,1,1,1
,com.spiceflow.backend.events,DomainEventType,0,201,0,0,0,34,0,1,0,1
,com.spiceflow.backend.inventory.ledger,InventoryMovementType,0,51,0,0,0,9,0,1,0,1
,com.spiceflow.backend.inventory.ledger,InventoryLedgerEntry,25,42,2,0,3,1,2,1,1,1
,com.spiceflow.backend.sales.loading.adapter,LoadingSheetPersistenceAdapter,3,287,3,11,0,77,3,7,0,3
,com.spiceflow.backend.sales.order.workflow,RepOrderStateMachine,6,54,0,0,1,10,1,2,1,2
,com.spiceflow.backend.inventory.ledger.service,InventoryLedgerService,24,132,2,6,5,39,4,7,2,5
,com.spiceflow.backend.purchase.service,PurchaseService,368,608,40,32,73,146,38,14,8,8
,com.spiceflow.backend.common.context,TenantContext,3,16,0,0,1,6,1,4,1,4
,com.spiceflow.backend.dashboard.purchasing.service,PurchasingDashboardService,62,4,4,0,15,1,3,1,1,1
,com.spiceflow.backend.sales.order.adapter,RepOrderPersistenceAdapter,10,480,10,22,0,124,10,9,0,3
,com.spiceflow.backend.dashboard.inventory.service,InventoryDashboardService,48,4,2,0,10,1,2,1,1,1
,com.spiceflow.backend.sales.service,DeliveryService,319,626,35,25,56,153,36,13,13,6
,com.spiceflow.backend.sales.service,QrVerificationService,98,330,13,9,19,91,15,13,5,12
